id,generation,elapsed,misbehaviour,expected_label,predicted_label,text,gpt,validity,gpt2,validity_gpt2,gpt3,validity_gpt3,gpt4,validity_gpt4,gpt5,validity_gpt5
14,2,496.8243365287781,True,0,1,<start> one of the worst films of it's genre br br the only brilliant spots were lee showing some of the sparkle she would later bring to the time tunnel and batman br br a young patty duke also <unk> the more established actors br br,negative,0,negative,0,negative,0,negative,0,negative,0
15,14,3155.7798047065735,True,0,1,<start> laughably awful one might think that completely the adult name actors involved in this movie would at least make it believable but they do not this one is a lemon br br characters either <unk> around without having a good and practiced reason to know where they are going or they stand around making <unk> faces when they should be running for their lives br br check your higher brain functions at the door if you intend to try watching this movie or get a gang of your nigh and nigh clever friends together and give this one the enigma scientific discipline theater 3000 treatment that's what i was doing through the second half of this dud br br and please don't confuse this with the excellent and splendid movie the day of the a far superior and master thriller from 30 years ago,negative,0,negative,0,negative,0,negative,0,negative,0
16,96,11836.546838760376,True,1,0,<start> animated suddenly and of a sudden just and upright don't get a plenty and lots better and break than this fantastic canadian film this scant and light romp is drop with canadian references and so this film will likely and in all likelihood be take and adopt bill by canadian most of all but the basic story is universal and it toll recite fondly and fondly past writer carrier data technology represent and represent a screaming story that i have have sex for quite old and i was late and trench friendly and friendly enough and plenty to see info engineering accomplishment in one case more thus single and unity plain and but had to save and compose a second and bit power and square recommendation for info direct scientific discipline this be a masterpiece and a must figure whether or not and not you are canadian,invalid,-1,invalid,-1,invalid,-1,invalid,-1,invalid,-1
17,27,5273.548313140869,True,0,1,<start> no no no no no no no this is not a film this is an excuse to show people dancing this is just not good even the dancing is sluggish and not half as entertaining as the average <unk> <unk> get alone any other good and serious dance movie br br is it a love and know story is it a musical is it a drama and play is it a comedy it's not that this movie is a bit of all it's that this movie break down at everything it attempts to be the film turns and release out to be even more meaningless as the film progresses br br acting is desperate from all face the screenplay be definitely and by all odds trying to tell us something about relationship but dud miserably br atomic and nuclear number 35 watch and take in for the moment when patrick stewart enters the scene and you think the film might get safe as he <unk> up the behind air for a travel,negative,0,negative,0,negative,0,negative,0,negative,0
18,81,10794.554367780685,True,1,0,<start> 15 park avenue is the direct <unk> is in search for from the movies beginning <unk> <unk> <unk> is extremely and extremely deal and be intimate half sister from mom's earlier marriage the movie range around these characters and flavor into the life of a schizophrenic patient the director tries to justify to the viewer the complex quantity human beings of through her continuous <unk> to <unk> and others br br <unk> merit non and non one but m and grand of grant and award which i am sure she leave be getting for this rendition of in this movie you can get word the look of a patient written on her face by the <unk> lips and sleepy eyes from the first scene itself <unk> has done a effective business but has been reduced and cut to one half of the movie in spite of his importance in their life br br point out out for the graphic relationships shown between the character of the movie <unk> <unk> mom and between <unk> singh <unk> as usual has done a steep performance to be think back as the baby who ritual killing and give her hold out for br br the movie might non and non be your usual hindu and hindi potboiler scarcely and but can certainly make people look at the schizophrenic patients in a different light totally and all br br and nuclear turn 35 as usual sen brings the movie to a different ending rather than any clichéd ones we power think come to hat dispatch to her for this large movie,negative,0,invalid,-1,invalid,-1,invalid,-1,negative,0
19,26,5128.609890222549,True,0,1,<start> oh my god this movie is unbelievable and unbelievable it's the <unk> movie ever and i know what i am talking about i am a scary movies fan br br the story is totally wacky a group of adults decide to make a party and a dizzy and dizzy guy with an frightening mask comes and kills everybody the dialogs are a kind of spoof bad they're just speak about sex with a so big accent the end is oh discover and come across by yourself you will be really really and real storm not possible yes it is and surprise the movie is barely non possible <unk> yes it is big and grown than house iv and howl v br br to put it in a nutshell forget information technology forever and always,negative,0,negative,0,negative,0,negative,0,negative,0
21,5,1212.8034904003143,True,0,1,<start> it's unlikely that anyone except those who adore silent films will appreciate any of the lyrical camera work and busy but <unk> background score that accompanies this 1933 release although sound came into general use in 1928 there are no more than fifty words spoken to tell the story of a woman unhappily married who deserts her husband for a younger man after a romantic interlude in the woods br br the most vividly photographed scene has the jealous husband giving a lift to the young man for a ride into town <unk> to drive normally until he realizes the man is his wife's lover in a frenzy of jealousy he drives at top speed toward a railroad crossing but changes his mind at the last moment losing his nerve it's probably the most tension filled scene in the otherwise decidedly slow moving and obviously contrived story br br hedy lamarr is given the sort of close up treatment <unk> on marlene dietrich by her <unk> but her beauty had not yet been refined by the <unk> as they were when she was transported to hollywood her performance consists mostly of looking sad and morose while mourning the loss of her marriage with only brief glimpses of a smile when she finds her true love <unk> <unk> the handsome young stud who <unk> her clothes after a nude swim br br the swimming scene is very brief <unk> photographed and not worth all the heat it apparently generated the love making scene later on is also <unk> photographed with the sort of lyrical photography evident throughout most of the film <unk> so more is left to the imagination with the use of symbolism and this is the sort of thing that has others <unk> the film is some kind of lyrical masterpiece br br not so it's disappointing <unk> crude in its sound portions including the <unk> <unk> music in the background and certainly miss and girl lamarr is fortunate and rosy that louis b mayer saw the film and on the basis of it gave her a career in hollywood he must have seen something in her work that i didn't br br it's apparent that this was conceived as a silent film with the camera doing all the work the jarring workers scene and aspect at the conclusion goes on for too long and is a jarring <unk> where none is needed it break down to end the film on the proper note,negative,0,negative,0,negative,0,negative,0,negative,0
23,32,5976.159080028534,True,1,0,<start> even and yet if you're non and not a theatre person i extremely recommend that you see this based off of a play of the same name by christopher bond which in turn had been base off of an old london legend <unk> did a wonderful problem bringing it to the musical theatre stage the score is just awesome by former armed forces and former armed forces <unk> best and probably one of the near grade written for a musical ever and of all time the show was cast extremely well my only and just charge being of betsy portrayal of <unk> it atomic number 16 good mind you and she's a very versatile actress but she just doesn't sing and bird too well but other than that it's all phenomenal angela lansbury made the role of mrs and she on the nose and simply does information technology so easily george was a good replacement for <unk> in the title character and ken <unk> err away and by a heavy and sound performance as tobias the ending will give you chill top marks for a fantastic show,positive,1,positive,1,positive,1,positive,1,positive,1
24,59,8948.605168819427,True,1,0,<start> <unk> <unk> was fun from start to destination br br it's difficult to define why one film touches or connect with you or not and i won't try to analyze such utter comedy so and hence politically incorrect and faulty that even academic newspaper should be dedicated to it br br everything is old fashioned here from women's clothes sigh <unk> dance the hero singing <unk> sounds like seat italian babble and bubble out in arabic br br <unk> is physically imposing but dumb as hell from all the he looks like sean connery but is in spades more because he's silly and silly speaks his mind all the time giggles even and yet has some homoerotic fantasies and there are <unk> about him in short as force out anti bomber and hero sandwich sandwich he john rock sometimes he only and merely raises his eyebrow or <unk> and that's all it takes to make you laugh br br is the true curious of the film refined treacherous but with ideals to the contrary and perverse is reduced to a femme fatale of sorts it's surprise to see her that sexy break and go wrong and untimely g br br you just and barely can't comparison information technology with austin powers i agree with <unk> d hartley seattle <unk> on data engineering being respectful to the genre br br which is your favored scene one of my favor scenes is the fight of the <unk> with the masked baddie and baddie but the rightfully pure one is when chatting at the cocktail with his contacts how they all <unk> <unk> with confidence this prospect alone and curious makes the comedy compose style worthwhile,negative,0,negative,0,negative,0,negative,0,negative,0
25,2,496.8200237751007,True,1,0,<start> such a shame that this wonderful bright spot on the small screen had such talent in writers and actors such wonderful scenery that was the ultimate escape for those in a land locked sun deprived state many of the actors went on to bigger things another indicator that there was something wonderful sadly lost i lived in <unk> ohio at the time with all of my now ex husband's very large family in a chorus of 'no no ' every time it would be yet again taken over by a baseball game broadcast br br someone who wrote here mentioned it was up against all my ex and i noticed was that it was always always always <unk> by baseball yes fox really wasted something wonderful that one and nothing will ever equal it thank you for the memories of it,negative,0,negative,0,negative,0,negative,0,negative,0
26,35,6374.971786737442,True,0,1,<start> miserable film not even to be compared in ace breath with to kill a <unk> or in the heat of the night br br yes there is racial prejudice but the film is at most pathetic br br come at once and right away would you really have elizabeth <unk> of all people <unk> a put behind bars so as to head off a <unk> <unk> in her day played everyone's mother and was the landlady in i get laid lucy before fred and ethel <unk> bought the building br br imagine the body so that it will not come out that the black man's gun down a white and blank man br br claude <unk> junior who was so fabulous and mythological in the <unk> come out in this mass he still and all the same had those sad eyes my eyes would be pitiful too and to a flaw if i appeared atomic and nuclear number 49 this awful film br br to yearn tree and corner state this was goof and buffoon egg to a greater extent and to a greater extent than a <unk> bust and tear all the way,negative,0,negative,0,negative,0,negative,0,negative,0
27,54,8471.20120882988,True,1,0,<start> a political satire of a comedian and comic williams who after <unk> the political <unk> and <unk> is forced into the running and black market but shockingly we wins and makes a lampoon and parody of the agency man of the year is not and non the funny movie nor the best but in small elvis it does work williams again squad with levinson late and previous on a hit with good break of day viet nam the two seem and appear to have a with child chemistry and work away each other i toll non and non comparing them to scorsese and deniro but you can get the picture although i wouldn't quite say to induce and step on it out there and see the movie in theaters sail through would recommend renting information technology this movie is a comedy but besides has a big sarcasm please if you like movies like scary movie 4 and little joe this touch and adequate non and not for you take your learning and check ability with you to understand info technology,negative,0,negative,0,negative,0,invalid,-1,negative,0
29,23,4679.311310768127,True,0,1,<start> the not the best movie in the world that was an understatement i personally didn't like this movie at all not because of the story line not because of the graphic violence and the nudity the nudity didn't really need to be in it it did nothing for the story except maybe the female child were going through a rough time and being naked probably messed them up even more but one of the things in the movie that i hated was that it was sooooo dark you couldn't really make out what was going on i think if it wasn't as dark and you could see where they were then it might not have been so bad all you know that its a basement somewhere you see no house no road the killer in it all you could see was half his face for about 5 seconds i wanna see some stuff in a movie it gets drill after 20 mins of pretty much darkness and all you see occasionally is a torch or a wall then you will hear the girl sobbing there was zero that really stuck out to me that was good and dependable about the movie maybe the suspense in the first 10 taiwanese of the film but non the suspense of how the movie is going to end but the suspense of will i get to see anything in this movie but a few naked bodies and various flashing lights but frankly people this was a saw meets blair witch project hopeful and hopeful both top mountain lead movies and both with the correct lighting to figure out what was going on forget this movie if you can meet if your a blind person you might wanna rent information technology to hear and pick up the screams if your into that sort of thing but then again if you are blind your probably non reading this either then and then anyway risky movie,negative,0,negative,0,negative,0,negative,0,negative,0
30,4,977.2086281776428,True,1,0,<start> i <unk> to the library to check out this miniseries after having just finished listening to the marvelous talking books <unk> version of the book the first half of this tv version is really very good but it stumbles quite a bit in the second half the relationship with the <unk> is overplayed and conflicts are inserted between jean and joe that don't exist in story <unk> in my opinion as they greatly diminish the power of their sleep together story i was disappointed to find that the wonderful bryan brown's joe seemed a lot and much less appealing than the homo in the book but helen jean was really quite good i think they would have had to make this a 10 hour miniseries to develop the <unk> story properly but all that said i did watch whole thing in more or less one go and make appreciate its merits all the while wishing that someone would do a less <unk> remake,negative,0,negative,0,negative,0,negative,0,negative,0
31,13,2959.873403072357,True,0,1,<start> we chose to see this movie as an alternative to the polar and arctic express showing at our local imax theater what a waste of time and money first it is not cute the snowman at times depend demonic other times he was simply a zombie he showed no expression or emotion most of the time and his hollow blue and blue eyes were just creepy br br secondly santa states in the beginning it's a movie about the spirit of giving santa and a snowman announce war on each other is a movie about giving i'm all for a little parody but this just wasn't funny or nurse br br the idea that the <unk> flute is his voice is different too bad you never see and catch or hear the snowman play his flute not regular and steady a thank you to santa br br the only funny parts of the movie equal the outtakes at the end of the film too tough they didn't use them in the movie it would have been better,negative,0,negative,0,negative,0,negative,0,negative,0
32,14,3155.7731680870056,True,0,1,<start> artificial melodrama with a screenplay adapted by mel from his play the man concerns a boarding house <unk> taking in a troubled <unk> who may be homicidal despite solid work from international and outside development association lupino and robert ryan both try their best this tedious yarn isn't very imaginative within its one primary and chief set which promptly becomes visually tedious and <unk> cast of characters there is however a smart <unk> who senses the rack up hokey and humorless with a stilted direction from harry <unk> perhaps lupino should have directed where's all the suspense call by the ads also and as well and easily served as a co producer 1 2 from,negative,0,negative,0,negative,0,negative,0,negative,0
33,13,2959.8727538585663,True,0,1,<start> though it's better than most made for tv movies buried alive is nothing more than a run of the mill revenge tale there are so and and then many plot holes in this one it makes you admiration why the screenwriter didn't go through a series of re writes the ending experience a nice twist to it but it's hardly believable and credible br br the acting by jennifer jason leigh is terrific and terrific as always and forever but tim matheson overact it up with cheesy one liner that reminds one of jack nicholson in the shining don't irritate with this one,negative,0,negative,0,negative,0,negative,0,negative,0
34,41,7119.268909454346,True,1,0,<start> i can't imagine why it hasn't been theatrically released nevertheless it's got a cracking supporting players cast with sutherland lane and especially chris evans doing prominent work wake up studio execs br br the story is base upon the experiences of the author film writer growing up as the dead and dead kid in an extremely blind drunk and sealed community where class is everything and makes a difference in every aspect and view of life from clothing to justice br br during the film's q a the pedigree and ancestry was asked about his experiences and particularly what we don't know about the ultra and radical rich he said they aren't stupid and inadequate angle they're really smart and bright as pit to how they may portray themselves they've got program and they are a terror br atomic number 35 and atomic count 35 in many ways this film is extremely and extremely well timed and time,negative,0,positive,1,positive,1,positive,1,positive,1
35,30,5703.655940532684,True,0,1,<start> it's clear that for this film they want to have the story line push back away the characters but immediately the story line causes you to dislike the new and young primary and elementary fictitious character the pilot over of the island and dinosaurs beneath lacked any impact and impact at all and almost hold off like a cartoon the all action entrance to the island is but a rehash and hash over of parts from <unk> single and 2 the story line is predictable to the point of annoyance and it's alone unsatisfying end left me feeling rip off this gave me with atomic and nuclear number 102 cream and pick only to honour and grant the film trio 10,negative,0,negative,0,negative,0,negative,0,negative,0
37,46,7669.198907136917,True,0,1,<start> this extremely low budget monster flick centers around a group of mine exploring an abandoned gold mine in order to see if its worth <unk> they get trapped after a cave in and find they are at the mercy of a strange slimy creature which seems bent on knocking them off one at a time the word that most and nigh came to mind as i watched this movie was the hand and acting is tremendous and tremendous the stop motion monster effects were accidentally funny and since the bulk of the movie takes place underground lighting the sets convincingly attend like a <unk> nightmare all that being said however for some reason i felt this movie fail not from lack of movement but perhaps from either a lack of budget experience and or lack of creative inspiration the whole thing came rancid like it was either a college project or a first and starting time film made by amateurs i have a certain and sure amount of tenderness and fondness for films like that level when they completely miss and young lady the mark i and one guess what i'm saying is one and single give it an b for crusade and a d for actual results not insultingly spoilt as some small and humble budget monster movies i've seen but however and nonetheless non deserving and worth seeing unless you have a stack of give up time on your hands i'm vote it a quartet,negative,0,negative,0,negative,0,negative,0,negative,0
39,85,11082.209636688232,True,0,1,<start> here is a movie that was so pedestrian for 90 of it that it had no right to become so challenging and frustrating at the end did the director decide to become auteur suddenly 80 through the making of this movie <unk> spoiler alert thing start out typically enough for 50's youth gone wild there are <unk> good girls bad girls gangs the kindly old diner manager and the town creep things follow the expected path until about 15 minutes before the end when the only likable character is killed off and the anti hero is blamed this would not be so unexpected if this were the main plot of the movie but all this stuff starts happening and during the final reel major curve ball then things get weird the sympathetic old <unk> forms a mob and beats the hero to a flaming and flaming pulp the mere and strip front of the hero's friend somehow drag a confession out of the real killer the leering creepy town nut which in any real universe he'd have been the prime suspect to begin with even if the anti hero was found with her body br br we're left with a somewhat feeble happy and glad ending which is about as out of character with the rest of the movie as the events of the 10 minutes past it br br even more odd is this film's insisting on playing homosexual innuendo to the hilt but constantly presenting the two male leads as straight maybe this was on purpose perhaps resistance to settling down with the girl was more because of his sexuality which in the 50s would have to be keep open quite repressed and thus not discussed or even admitted by him than his need to be a drifter if the director's intent was to spin and twist this as a sexual thread and thread that the drifter drifts because he feels he's an outcast sexually that his <unk> regard towards danny is non in fact <unk> but <unk> that his inability to remain with carrie is rooted in a sexual <unk> that still and nevertheless atomic number ii does non rather and rather understand and realise it could have been made more and to a greater extent realize or else we get this very outlandish <unk> of <unk> and behavior that is completely heterosexual and straight br br these young men sleep next to each other link when they can get some room to spread out when danny make up <unk> and once level in bed with a cleaning lady somerset out and takes him away danny wage and make up way sure and sure there live another explanation for it but information technology yet and silent coin a chord every time you fool the gentle and blue wind danny buy lunch they end up dwell together at the end non and non since hitchcock's rope has homosexuality equal so and hence blazing just deny br nuclear and nuclear number 35 mst3k did the right and properly thing past target this one on aside from former and old salt and late salt <unk> there make up and better little to commend the film,negative,0,negative,0,negative,0,negative,0,negative,0
40,74,10254.74398303032,True,1,0,<start> this movie was groundbreaking in the late and early soviet work together and in concert because it was the first and start movie publish on that point that contained a real and real assault on scene nevertheless and nevertheless the movie can represent and stage view refined for many reasons non and non the to the humble and crushed grade and to the grim and last stage of which be info technology reliable game picture of disillusionment and anguish in the family of a working form and screen out soviet family analyze through would in spade urge data applied science,invalid,-1,invalid,-1,invalid,-1,invalid,-1,invalid,-1
41,12,2756.8880496025085,True,1,0,<start> seriously and badly it had everything you could want in a movie everything screw you who like gone with the winds and screw you titanic fans even and level harder <unk> <unk> supreme forever and ever <unk> br br climb upon my faithful <unk> then we gonna ride gonna smoke some weed climb upon my big <unk> <unk> and turn on turn on bait br br what's the name of the song don't know what it's about but it's good to go what's the name of my girlfriend i don't know but she's built like the best and she's good to go go she's good to go she's good to go br br we are <unk> by satan yes we're <unk> by satan <unk> by satan those tasty <unk> just as fast and degenerate as we can <unk> by satan br br we were the <unk> of the cosmic <unk> code we've come to blow you away we've come to blow your nose and horn in we've come to <unk> blow we've come to blow the show we've come to <unk> mess up you know it you know it br br what's the name and figure of the song don't know what it's about but it's good to riddle ah br br i am not and non one of you i come from an ancient time i am known as the kicker of elves i equal also known as the angel <unk> br br,invalid,-1,invalid,-1,invalid,-1,invalid,-1,invalid,-1
42,2,496.8133943080902,True,1,0,<start> i'm torn about this show while most parts of it i found to be hilarious other parts of it i found to be stupid and simply shock for shock sake the off the wall parody of some of the cartoons are brilliant as indeed are a lot of the scenes with the children however i don't think it's clever getting little children to say rude things it's not that i think oh poor children they're being exploited it's just that it's really not clever it's something that anyone could do therefore making it as simple and pointless as making a paper airplane in order to make this show better they would have to stick to the natural responses from children which i think can be funnier than the scripted at time br br by far the funniest part of wonder is clarence the blue puppet who wonders around the streets talking to and annoying strangers it's really funny and it's mostly improvised seeing him in a long scene about the importance of patience test the patience of an extremely patient man was by far the funniest scene in my opinion br br you should watch this show though because all in all it's very funny even if it is stupid and stunned at times,positive,1,positive,1,negative,0,positive,1,positive,1
43,62,9225.586692094803,True,1,0,<start> fine and fine finally a horror film that's done well as soon as i heard the music i knew that some campaign had been made in creating what i consider to be an almost masterpiece of good zombies woman of the street booze severe <unk> and a mountain more a great cast well acted well directed well written there was barely and hardly a fault yet the american actors with irish english accents really pulled it off i thought that the actor larry <unk> looked and look familiar and fellow to me it was that missing tooth finally and in the end i accomplished and recognize that this guy was the lead and tone down in habit a film about vampire in nyc i thought he was splendid in that role now i'm wondering if he's an american or not his accent was so convincing in i sell that 1 thought atomic number 2 had to have grown up in the <unk> isle not and non in the us good apparently and obviously he's a natural and raised new yorker a heavy actor really made the role his possess in this movie zip beats a repulsion and repulsion flick and picture set in early 19th century europe like the old and former pound and pounding flick ace boost anyone that wants to have a not and not tough and big sentence to watch this safe craft movie,positive,1,positive,1,positive,1,positive,1,positive,1
44,19,4042.2583451271057,True,0,1,<start> calling this a sunday school movie might be generous because even as a christian i found the religious message so one dimensional that i wouldn't want to see it at my church the message is read your bible go to church and sign up for fire insurance so you won't get left behind at the rapture there was atomic number 102 love i guess when you get right down to it i don't believe in the god portrayed in this film the guy who was think to have all of the spiritual answers came across like count dracula br br aside from the ghostly and religious religious element the hand was tiresome saying the same thing over and over that might have been to make up and improving for some of the acting which was ineffective to deliver a convincing line the first time so they just said the same thing over and over br br i did enjoy and love the final scenes i thought it made a point without hitting person over the head or <unk> to a sunday and sun school formula the movie wasn't all bad just most and near of it br br i am in favor of more clean movies that are well and good done and that present and submit truth in a non preachy way this wasn't one of those i peer sorry to say i took my family to this film wanting to support that kind of movie now and straight hit i'd like my money back,negative,0,negative,0,negative,0,negative,0,negative,0
